"STATION","STATION_NAME","LATITUDE","LONGITUDE"
"GHCND:USC00460094","ALBRIGHT WV US","39.47889","-79.6275"
"GHCND:USC00460102","ALDERSON WV US","37.7272","-80.6592"
"GHCND:US1WVKN0001","ALUM CREEK 3.0 E WV US","38.2872","-81.7874"
"GHCND:USC00460202","ANSTEAD HAWKS NEST STATE PARK WV US","38.1208","-81.1167"
"GHCND:US1WVPC0001","ARBOVALE 0.8 NW WV US","38.4455","-79.8267"
"GHCND:US1WVGL0003","AUBURN 4.0 E WV US","39.0891","-80.782"
"GHCND:US1WVDD0004","AUBURN 8.3 ENE WV US","39.1255","-80.7068"
"GHCND:USC00460509","BARTOW 1 S WV US","38.5312","-79.7714"
"GHCND:USC00460527","BAYARD WV US","39.27278","-79.36833"
"GHCND:US1WVRL0002","BECKLEY 1.0 SE WV US","37.777","-81.1742"
"GHCND:USW00003872","BECKLEY RALEIGH CO AIRPORT WV US","37.7836","-81.123"
"GHCND:USC00460580","BECKLEY VA HOSPITAL WV US","37.7647","-81.194"
"GHCND:USC00460633","BELINGTON WV US","39.023","-79.933"
"GHCND:USC00460784","BIG OTTER WV US","38.6033","-81.0328"
"GHCND:US1WVMC0003","BLUEFIELD 1.0 SW WV US","37.2528","-81.2332"
"GHCND:USW00003859","BLUEFIELD MERCER CO AIRPORT WV US","37.2958","-81.2077"
"GHCND:USC00460925","BLUEFIELD WV US","37.2555","-81.2263"
"GHCND:USC00460939","BLUESTONE LAKE WV US","37.6411","-80.8831"
"GHCND:US1WVTA0003","BOOTHSVILLE 1.4 SE WV US","39.3782","-80.1786"
"GHCND:USC00461075","BRANCHLAND 1 N WV US","38.2336","-82.203"
"GHCND:US1WVLN0003","BRANCHLAND 5.5 ESE WV US","38.1864","-82.1116"
"GHCND:US1WVHS0006","BRIDGEPORT 1.1 NNW WV US","39.3057","-80.2677"
"GHCND:USC00461215","BUCKEYE WV US","38.16667","-80.13333"
"GHCND:USC00461220","BUCKHANNON WV US","38.98","-80.22056"
"GHCND:US1WVBY0001","BUNKER HILL 0.8 WNW WV US","39.3368","-78.068"
"GHCND:USC00461282","BURNSVILLE LAKE WV US","38.845","-80.62"
"GHCND:USC00461290","BURTON WV US","39.64639","-80.40639"
"GHCND:USC00461324","CACAPON STATE PARK 2 WV US","39.50639","-78.31583"
"GHCND:USC00461363","CAMDEN ON GAULEY 2 SW WV US","38.35","-80.61667"
"GHCND:USC00461397","CANAAN VALLEY NUMBER 2 WV US","39.05","-79.45"
"GHCND:US1WVNC0002","CANVAS 3.1 ESE WV US","38.254","-80.7195"
"GHCND:US1WVPC0004","CASS 3.7 SW WV US","38.3566","-79.9621"
"GHCND:US1WVDD0001","CENTER POINT 2.2 NNW WV US","39.4195","-80.6561"
"GHCND:US1WVKN0021","CHARLESTON 3.9 WSW WV US","38.3335","-81.6987"
"GHCND:US1WVKN0025","CHARLESTON 5.8 ENE WV US","38.3809","-81.5311"
"GHCND:USC00461579","CHARLESTON WSFO WV US","38.3138","-81.7186"
"GHCND:USW00013866","CHARLESTON YEAGER AIRPORT WV US","38.3794","-81.59"
"GHCND:US1WVJF0006","CHARLES TOWN 2.5 NE WV US","39.3154","-77.8304"
"GHCND:US1WVJF0007","CHARLES TOWN 2.7 W WV US","39.2922","-77.9081"
"GHCND:USC00461677","CLARKSBURG 1 WV US","39.2667","-80.35"
"GHCND:US1WVHS0003","CLARKSBURG 2.7 WSW WV US","39.2663","-80.3782"
"GHCND:USW00003802","CLARKSBURG BENEDUM AIRPORT WV US","39.29556","-80.22889"
"GHCND:USC00461696","CLAY WV US","38.4598","-81.0849"
"GHCND:USC00461723","CLENDENIN WV US","38.49333","-81.34833"
"GHCND:US1WVMS0002","CLIFTON 0.4 E WV US","39.003","-82.0349"
"GHCND:US1WVRL0006","COOL RIDGE 0.4 NE WV US","37.6627","-81.0903"
"GHCND:USC00461900","COOPERS ROCK STATE FOREST WV US","39.67722","-79.77194"
"GHCND:US1WVNC0004","CRAIGSVILLE 0.6 NE WV US","38.337","-80.6452"
"GHCND:US1WVLW0004","CRAWFORD 2.9 SE WV US","38.8394","-80.3963"
"GHCND:USC00462151","DAILEY 1 SE WV US","38.7825","-79.8911"
"GHCND:US1WVBN0001","DANVILLE 6.7 SSW WV US","37.9877","-81.8675"
"GHCND:USC00462211","DAVIS 3 SE WV US","39.098","-79.4322"
"GHCND:US1WVWD0001","DAVISVILLE 3.8 NE WV US","39.2335","-81.4408"
"GHCND:USC00462462","DRY CREEK WV US","37.8594","-81.465"
"GHCND:USC00462522","DUNLOW 1 SW WV US","37.9494","-82.4044"
"GHCND:USC00462622","EAST LYNN LAKE WV US","38.1436","-82.3828"
"GHCND:USC00462697","ELIZABETH WV US","39.06639","-81.40361"
"GHCND:USC00462709","ELKHORN WV US","37.38639","-81.40944"
"GHCND:USC00462717","ELKINS 1 N WV US","38.9267","-79.8295"
"GHCND:USW00003733","ELKINS 21 ENE WV US","39.013","-79.4743"
"GHCND:USW00013729","ELKINS RANDOLPH CO AIRPORT WV US","38.88528","-79.85278"
"GHCND:USC00462716","ELKINS WV US","38.9244","-79.8611"
"GHCND:US1WVMA0001","FAIRMONT 2.8 SSW WV US","39.4439","-80.1694"
"GHCND:USC00462920","FAIRMONT WV US","39.46667","-80.13333"
"GHCND:US1WVMA0007","FAIRVIEW 0.4 NNE WV US","39.5982","-80.2452"
"GHCND:US1WVBY0002","FALLING WATERS 2.4 NW WV US","39.5875","-77.9181"
"GHCND:US1WVFY0001","FAYETTEVILLE 0.6 NNW WV US","38.06","-81.11"
"GHCND:US1WVPN0001","FORT SEYBERT 3.0 NE WV US","38.7182","-79.1428"
"GHCND:USC00463215","FRANKLIN 2 NE WV US","38.66667","-79.31667"
"GHCND:USC00463251","FROST 3 NE WV US","38.2894","-79.8186"
"GHCND:USC00463361","GASSAWAY WV US","38.665","-80.7677"
"GHCND:USC00463464","GLADY 1 N WV US","38.8072","-79.7172"
"GHCND:USC00463544","GLENVILLE WV US","38.93389","-80.8325"
"GHCND:USR0000VVIE","GRANDVIEW WEST VIRGINIA WV US","37.8325","-81.0678"
"GHCND:USC00463648","GRANTSVILLE 1 ESE WV US","38.9099","-81.0844"
"GHCND:USC00463798","HACKER VALLEY WV US","38.61889","-80.38361"
"GHCND:USC00463846","HAMLIN WV US","38.2794","-82.1114"
"GHCND:US1WVJF0002","HARPERS FERRY 2.6 WNW WV US","39.3386","-77.7882"
"GHCND:US1WVRT0001","HARRISVILLE 0.5 W WV US","39.2104","-81.0596"
"GHCND:USC00463940","HARRISVILLE WV US","39.219","-81.0486"
"GHCND:USC00464200","HOGSETT R.C. BYRD DAM WV US","38.68306","-82.18611"
"GHCND:US1WVCB0008","HUNTINGTON 0.6 WSW WV US","38.4082","-82.4443"
"GHCND:US1WVCB0011","HUNTINGTON 1.0 S WV US","38.398","-82.434"
"GHCND:US1WVCB0002","HUNTINGTON 2.9 E WV US","38.406","-82.3813"
"GHCND:US1WVCB0006","HUNTINGTON 7.7 E WV US","38.4347","-82.2939"
"GHCND:USC00464397","HUNTINGTON SWG PLANT WV US","38.4014","-82.5266"
"GHCND:USW00003860","HUNTINGTON TRI STATE AIRPORT WV US","38.365","-82.555"
"GHCND:US1WVPT0004","HURRICANE 2.5 ENE WV US","38.451","-81.9745"
"GHCND:USC00464408","IAEGER 1 SW WV US","37.4502","-81.8236"
"GHCND:US1WVLW0002","JANE LEW 1.3 WSW WV US","39.1028","-80.4325"
"GHCND:US1WVML0003","KEYSER 2.0 SSW WV US","39.4142","-79.0028"
"GHCND:USC00464840","KEYSER 2 SSW WV US","39.42056","-79.005"
"GHCND:US1WVML0002","KEYSER 3.4 ESE WV US","39.4269","-78.9216"
"GHCND:USC00464971","KUMBRABOW WV US","38.6311","-80.0856"
"GHCND:USC00465002","LAKE LYNN WV US","39.72","-79.8561"
"GHCND:USC00465224","LEWISBURG 3 N WV US","37.8564","-80.4041"
