"STATION","STATION_NAME","ELEVATION","LATITUDE","LONGITUDE","DATE","TPCP","EMXT","EMNT","MMXT","MMNT","MNTM"
"COOP:189570","WILLIAMSPORT MD US","109.7","39.60389","-77.83583",2005-01-01,2.87,69,6,41.5,24.2,32.9
"COOP:189570","WILLIAMSPORT MD US","109.7","39.60389","-77.83583",2005-02-01,1.19,64,14,46,24.7,35.4
"COOP:189570","WILLIAMSPORT MD US","109.7","39.60389","-77.83583",2005-03-01,6.03,68,14,47.8,28.2,38
"COOP:189570","WILLIAMSPORT MD US","109.7","39.60389","-77.83583",2005-04-01,2.08,85,30,66.4,38.8,52.6
"COOP:189570","WILLIAMSPORT MD US","109.7","39.60389","-77.83583",2005-05-01,2.68,91,32,70.9,44.2,57.6
"COOP:189570","WILLIAMSPORT MD US","109.7","39.60389","-77.83583",2005-06-01,0.73,97,48,86.4,58.6,72.5
"COOP:189570","WILLIAMSPORT MD US","109.7","39.60389","-77.83583",2005-07-01,5.17,96,60,88.4,66.1,77.3
"COOP:189570","WILLIAMSPORT MD US","109.7","39.60389","-77.83583",2005-08-01,2.34,98,54,86.7,65.6,76.2
"COOP:189570","WILLIAMSPORT MD US","109.7","39.60389","-77.83583",2005-09-01,0.03,92,41,84.3,56.9,70.6
"COOP:189570","WILLIAMSPORT MD US","109.7","39.60389","-77.83583",2005-10-01,6.06,82,29,64.8,45.6,55.2
"COOP:189570","WILLIAMSPORT MD US","109.7","39.60389","-77.83583",2005-12-01,2.1,60,6,40,22.7,31.4
"COOP:189570","WILLIAMSPORT MD US","109.7","39.60389","-77.83583",2006-01-01,3.85,68,20,49.1,28.3,38.7
"COOP:189570","WILLIAMSPORT MD US","109.7","39.60389","-77.83583",2006-02-01,1.35,64,11,44.8,25,34.9
"COOP:189570","WILLIAMSPORT MD US","109.7","39.60389","-77.83583",2006-03-01,0.22,83,23,54,31.1,42.6
